topic,keyword,definition
Topic 3-Computers-software,System Software,Software that controls the hardware and provides a platform for applications.
Topic 3-Computers-software,Operating System,"System software that manages hardware, provides a user interface and runs applications."
Topic 3-Computers-software,Memory Management,The part of the OS that allocates and tracks use of main memory.
Topic 3-Computers-software,Virtual Memory,Using part of secondary storage as if it were RAM when physical RAM is full.
Topic 3-Computers-software,File Management,"Organising files into folders, copying, moving, renaming and deleting files."
Topic 3-Computers-software,Multitasking,Using scheduling so the CPU appears to run many programs at once.
Topic 3-Computers-software,Process Scheduling,Deciding which process the CPU should execute next.
Topic 3-Computers-software,Peripheral Management,Controlling external devices such as printers and monitors using drivers.
Topic 3-Computers-software,User Management,"Managing user accounts, logins and permissions."
Topic 3-Computers-software,Authentication,Checking the identity of a user before allowing access.
Topic 3-Computers-software,User Interface,"The way in which a user interacts with a computer system, such as a GUI or CLI."
Topic 3-Computers-software,Device Driver,Software that allows the operating system to communicate with hardware devices.
Topic 3-Computers-software,Code Review,Checking code written by others for errors and improvements.
Topic 3-Computers-software,Robust Software,Software that can cope with errors or unexpected input without crashing.
Topic 3-Computers-progLang,Assembly Language,A low-level programming language using mnemonics that map directly to machine code instructions.
Topic 3-Computers-progLang,One-to-One Mapping (Assembly),Each assembly instruction corresponds directly to one machine code instruction.
Topic 3-Computers-progLang,Benefits of Assembly Language,Easier for humans to read and write than binary; uses mnemonics instead of 0s and 1s.
Topic 3-Computers-progLang,Advantages of Low-Level Languages,"Very fast execution and efficient memory use, giving direct control over hardware."
Topic 3-Computers-progLang,Drawbacks of Low-Level Languages,"Harder to read, write and debug; often machine-specific."
Topic 3-Computers-progLang,Examples of High-Level Languages,"Languages such as Python, Java, C++ and Visual Basic."
Topic 3-Computers-progLang,Advantages of High-Level Languages,"Easier to write, debug and maintain; portable across many systems."
Topic 3-Computers-progLang,Drawbacks of High-Level Languages,Less control over hardware and generally slower than low-level languages.
Topic 4-Networks,Network,Two or more computers or devices connected together to share data and resources.
Topic 4-Networks-internet,Internet,A global network of interconnected computers and networks.
Topic 4-Networks,LAN,Local Area Network; covers a small geographical area such as a building or campus.
Topic 4-Networks,WAN,Wide Area Network; covers a large geographical area and connects multiple LANs.
Topic 4-Networks-connections,Wired Network,"A network that uses physical cables, such as Ethernet or fibre optic, to connect devices."
Topic 4-Networks-connections,Wireless Network,A network that uses radio waves (Wi-Fi) to connect devices without cables.
Topic 4-Networks,Switch,A device that connects devices on a LAN and forwards data to the correct device based on MAC address.
Topic 4-Networks,Router,A device that forwards data packets between networks and connects a LAN to the internet.
Topic 4-Networks-internet,Network Backbone,The main high-capacity links that connect parts of a network.
Topic 4-Networks,Server,A powerful computer that provides services or resources to other computers on a network.
Topic 4-Networks-connections,Bandwidth,"The maximum amount of data that can be transmitted over a network in a given time, usually in bits per second."
Topic 4-Networks-connections,Latency,The time delay between sending data and receiving a response.
Topic 4-Networks-topology,Star Topology,A network layout where all devices are connected to a central switch or hub.
Topic 4-Networks-topology,Bus Topology,A network layout where all devices are connected to a single central cable.
Topic 4-Networks-topology,Mesh Topology,"A network layout where devices are interconnected, often with multiple paths between them."
Topic 4-Networks-internet,DNS,Domain Name System; translates domain names into IP addresses.
Topic 4-Networks-internet,IP Address,A unique numerical address assigned to a device on a network using IP.
Topic 4-Networks-addressing,IP Address,A unique numerical address assigned to a device on a network using IP.
Topic 4-Networks-addressing,MAC Address,A unique hardware address assigned to a network interface card.
Topic 4-Networks-packets,Packet,"A small chunk of data sent over a network, containing addressing and error-checking information."
Topic 4-Networks-packets,Checksum,Data used to detect errors in a packet during transmission.
Topic 4-Networks-packets,Packet Switching,Splitting data into packets which are sent independently and reassembled at the destination.
Topic 4-Networks,Network Interface Card (NIC),Hardware that connects a computer to a network.
Topic 4-Networks,Wireless Access Point,A device that allows wireless devices to connect to a wired network.
Topic 4-Networks-layers,TCP/IP Model,A four-layer model describing how protocols work together to transmit data over networks.
Topic 4-Networks-layers,Application Layer,Top layer of TCP/IP; chooses the correct protocol for an application.
Topic 4-Networks-layers,Transport Layer,"Splits data into packets, adds port numbers and ensures reliable delivery."
Topic 4-Networks-layers,Internet Layer,Adds source and destination IP addresses and routes packets.
Topic 4-Networks-layers,Link Layer,Handles hardware addressing (MAC) and physical transmission of data.
Topic 4-Networks-protocols,HTTP,Hypertext Transfer Protocol; used for transferring web pages.
Topic 4-Networks-protocols,HTTPS,HTTP with encryption for secure communication over the internet.
Topic 4-Networks-protocols,IMAP,Internet Message Access Protocol; retrieves email while keeping copies on the server.
Topic 4-Networks-protocols,POP3,Post Office Protocol version 3; retrieves email and usually deletes it from the server.
Topic 4-Networks-protocols,SMTP,Simple Mail Transfer Protocol; sends email between mail servers.
Topic 4-Networks-protocols,TCP,"Transmission Control Protocol; provides reliable, ordered delivery of packets."
Topic 4-Networks-protocols,IP,Internet Protocol; responsible for addressing and routing packets between networks.
Topic 4-Networks-security,Firewall,Monitors and filters network traffic to prevent unauthorised access.
Topic 4-Networks-security,Authentication,"Verifying the identity of a user, for example with a password or biometric."
Topic 4-Networks-security,Access Levels,Permissions that control what resources users can access on a network.
Topic 4-Networks-security,Encryption,Converting data into a coded form so that only authorised users can read it.
Topic 4-Networks-security,Penetration Testing,Authorised simulated attacks on a network to find security weaknesses.
Topic 4-Networks-security,Physical Security,"Protecting hardware using measures such as locks, alarms and secure rooms."
Topic 4-Networks-protocols,Protocol,A set of rules governing how data is transmitted over a network.
Topic 4-Networks-internet,Internet Backbone,The main high-speed routes that carry internet traffic across countries and continents.
Topic 4-Networks-internet,ISP,Internet Service Provider; a company that provides users with internet access.
Environmental Issues,Environmental Issues,"The impact of technology on the environment, such as energy use and electronic waste."
Environmental Issues,Digital Responsibility,"The duty to use technology in a safe, legal and ethical way."
Environmental Issues,E-Waste,Discarded electronic devices that can cause pollution if not disposed of properly.
Environmental Issues,Sustainability,"Designing and using technology in a way that does not damage the environment or exhaust resources."
Ethical & Legal Issues,Ethics,"The study of what is morally right or wrong, beyond what is legal."
Ethical & Legal Issues,Digital Divide,The gap between people who have access to digital technologies and those who do not.
Ethical & Legal Issues,Ethical Issues,"Moral questions raised by the use of technology, such as privacy or job losses."
Ethical & Legal Issues,Censorship,Controlling or suppressing what information people can access.
Ethical & Legal Issues,Privacy Issues,"Concerns about how personal data is collected, stored, used and shared."
Ethical & Legal Issues,Freedom of Expression,"The right to express opinions without censorship, which can conflict with controlling harmful content."
Ethical & Legal Issues,Surveillance,"Monitoring people's activities, often using technology such as CCTV or online tracking."
Ethical & Legal Issues,Cultural Issues,"The effects of technology on traditions, behaviour and values in society."
Ethical & Legal Issues,Trolling,"Posting messages online to deliberately upset or provoke others."
Ethical & Legal Issues,Fake News,"False or misleading information presented as news."
Ethical & Legal Issues,Data Protection Act 2018,"UK law that controls how personal data is collected, stored and used."
Ethical & Legal Issues,Computer Misuse Act 1990,"UK law that makes unauthorised access to computer material a criminal offence."
Emerging Technology,AI (Artificial Intelligence),"Computer systems that perform tasks normally requiring human intelligence."
Emerging Technology,Machine Learning,"A type of AI where systems learn from data and improve over time without explicit programming."
Emerging Technology,Deepfake,"AI-generated audio or video that convincingly mimics real people saying or doing things they did not do."
Emerging Technology,Automation,"Using technology to perform tasks with little or no human input."
Emerging Technology,AI Regulation,"Laws and rules designed to ensure AI is used safely and fairly."
Emerging Technology,Bias in AI,"Unfair outcomes produced by AI systems because of biased training data or design."
Emerging Technology,Accountability in AI,"Who is responsible for decisions made by AI systems."
Intellectual Property,Open Source Software,"Software whose source code is freely available to use, modify and distribute."
Intellectual Property,Proprietary Software,"Commercial software owned by a company; users buy a licence to use it but cannot modify it."
Intellectual Property,Software Licence,"A legal agreement that sets out how software can be used, copied and distributed."
Intellectual Property,Software Licences,"Rules governing how software may be used, including open source (free to modify) and proprietary (restricted use)."
Intellectual Property,Intellectual Property,"Legal rights over creations of the mind such as software, music or designs."
Intellectual Property,Copyright Designs and Patents Act 1988,"UK law that protects original creative works from being copied or used without permission."Topic 5-Issues & Impact-cyber,Cyberattack Consequences,"The financial, reputational and legal damage that can result from security breaches."
Laws,Data Protection Act 2018,"UK law that controls how personal data is collected, stored and used."
Laws,Computer Misuse Act 1990,"UK law that makes unauthorised access to computer material a criminal offence."
Laws,Copyright Designs and Patents Act 1988,"UK law that protects original creative works from being copied or used without permission."
Laws,Software Licences,"Rules governing how software may be used, including open source (free to modify) and proprietary (restricted use)."
Topic 5-Issues & Impact-cyber,Information Theft,Stealing data for purposes such as identity theft or fraud.
Topic 5-Issues & Impact-cyber,Malware,Malicious software designed to damage or disrupt computer systems.
Topic 5-Issues & Impact-cyber,Spyware,Malware that secretly collects information about a user or their computer.
Topic 5-Issues & Impact-cyber,Adware,Software that automatically displays or downloads unwanted advertising material.
Topic 5-Issues & Impact-cyber,Ransomware,Malware that encrypts files and demands payment to restore access.
Topic 5-Issues & Impact-cyber,Virus,Malware that attaches itself to programs or files and spreads when they are run.
Topic 5-Issues & Impact-cyber,Worm,Malware that can copy itself and spread independently over networks.
Topic 5-Issues & Impact-cyber,Trojan,"Malware disguised as legitimate software that, once installed, performs malicious actions."
Topic 5-Issues & Impact-cyber,Anti-Malware Software,"Software designed to detect, block and remove malware."
Topic 5-Issues & Impact-cyber,Heuristic Analysis,A technique used by security software to detect new malware by its behaviour.
Topic 5-Issues & Impact-cyber,Malware Signatures,Patterns of code used by security software to identify known malware.
Topic 5-Issues & Impact-cyber,Hacker,A person who gains unauthorised access to systems or data.
Topic 5-Issues & Impact-cyber,Software Patch,An update released to fix vulnerabilities or bugs in software.
Topic 5-Issues & Impact-cyber,Unpatched Software,Software that has not had the latest security updates applied and is vulnerable.
Topic 5-Issues & Impact-cyber,Firewall,Hardware or software that controls incoming and outgoing network traffic based on security rules.
Topic 5-Issues & Impact-cyber,Ethical Hacking,Using hacking skills legally to find and fix security weaknesses.
Topic 5-Issues & Impact-cyber,Penetration Testing,Authorised simulated attacks used to test the security of a system.
Topic 5-Issues & Impact-cyber,Black Hat Hacker,A hacker who uses skills for malicious or illegal purposes.
Topic 5-Issues & Impact-cyber,White Hat Hacker,"A hacker who uses skills to improve security, with permission."
Topic 5-Issues & Impact-cyber,Social Engineering,Tricking people into giving away confidential information.
Topic 5-Issues & Impact-cyber,Phishing,Fraudulent emails or messages that try to persuade people to reveal information.
Topic 5-Issues & Impact-cyber,Pretexting,Creating a false scenario to obtain sensitive information from someone.
Topic 5-Issues & Impact-cyber,Baiting,"Offering something attractive to trick a victim into compromising security, for example an infected USB drive."
Topic 1-Computational Thinking,Comment,Text in code that is ignored by the computer and used to explain the purpose of code.
Topic 1-Computational Thinking,Float / Real,A number with a decimal point.
Topic 1-Computational Thinking,Arithmetic Operators,"Symbols such as +, -, *, /, //, %, ** used for mathematical calculations."
Topic 1-Computational Thinking,Subprogram,A self-contained block of code that performs a specific task.
Topic 1-Computational Thinking,Input,Data sent into a program to be processed.
Topic 1-Computational Thinking,Character,"A single letter, digit or symbol."
Topic 1-Computational Thinking,Relational Operators,"==, !=, <, >, <=, >= used to compare values."
Topic 1-Computational Thinking,Function,A subprogram that returns a value.
Topic 1-Computational Thinking,Output,Processed data sent out from a program to the user or another system.
Topic 1-Computational Thinking,String,A sequence of characters treated as text.
Topic 1-Computational Thinking,Boolean Operators,"AND, OR, NOT used in logical expressions."
Topic 1-Computational Thinking,Procedure,A subprogram that performs a task but does not return a value.
Topic 1-Computational Thinking,Variable,A named memory location that stores a value that can change while the program runs.
Topic 1-Computational Thinking,Boolean,A data type with only two possible values: True or False.
Topic 1-Computational Thinking,Counter,A variable that increases or decreases by a fixed amount each time through a loop.
Topic 1-Computational Thinking,Global Variable,A variable that can be accessed from any part of the program.
Topic 1-Computational Thinking,Constant,A named value that does not change while the program runs.
Topic 1-Computational Thinking,Selection,Using conditions (such as IF) so that different code runs depending on whether a condition is true or false.
Topic 1-Computational Thinking,Flag,A Boolean variable used to signal that a condition or event has occurred.
Topic 1-Computational Thinking,Local Variable,A variable that can only be accessed inside the subprogram in which it is declared.
Topic 1-Computational Thinking,Identifier,"The name given to a variable, constant, subprogram or other program element."
Topic 1-Computational Thinking,Sequence,A set of instructions that are executed one after another in order.
Topic 1-Computational Thinking,Array,A fixed-size collection of elements of the same data type stored under one identifier.
Topic 1-Computational Thinking,File Handling,"Opening, reading, writing and closing files in a program."
Topic 1-Computational Thinking,Assignment,Giving a variable or constant a value using the assignment operator.
Topic 1-Computational Thinking,Repetition,"Executing a block of code a fixed number of times (for example, a counted loop)."
Topic 1-Computational Thinking,Record,A data structure that groups related items of different data types under one name.
Topic 1-Computational Thinking,String Manipulation,"Operations performed on strings, such as concatenation, slicing or changing case."
Topic 1-Computational Thinking,Integer,A whole number with no decimal part.
Topic 1-Computational Thinking,Iteration,"Repeating a block of code, often using a loop structure."
Topic 1-Computational Thinking,2D List (Array),"A list or array of lists, often visualised as rows and columns like a table."
Topic 6-Problem Solving with Programming,Argument,"Data passed into a subprogram, written in brackets when the subprogram is called."
Topic 6-Problem Solving with Programming,Array,A fixed-size data structure that stores items of the same type under one identifier.
Topic 6-Problem Solving with Programming,Assign,Giving a variable or constant a value.
Topic 6-Problem Solving with Programming,Block,"A section of code, usually grouped by indentation or braces."
Topic 6-Problem Solving with Programming,Boolean,A data type with only two values: true or false.
Topic 6-Problem Solving with Programming,Call,To execute the code inside a subprogram.
Topic 6-Problem Solving with Programming,Casting,Converting a value from one data type to another.
Topic 6-Problem Solving with Programming,Condition,A comparison that evaluates to true or false and controls selection or repetition.
Topic 6-Problem Solving with Programming,Constant,A value that does not change while the program is running.
Topic 6-Problem Solving with Programming,Data Type,"The kind of data stored, such as integer, real, Boolean or string."
Topic 6-Problem Solving with Programming,Data Structure,"A way of organising and storing data, such as arrays, lists or records."
Topic 6-Problem Solving with Programming,Decomposition,Breaking a large problem into smaller subproblems.
Topic 6-Problem Solving with Programming,Decrement,"Reducing the value of a variable, often by 1."
Topic 6-Problem Solving with Programming,Declare,"To introduce a new variable or data structure, often specifying its type."
Topic 6-Problem Solving with Programming,File,A collection of data stored on secondary storage.
Topic 6-Problem Solving with Programming,Flag,A Boolean variable used to indicate that a certain condition has been met.
Topic 6-Problem Solving with Programming,Float,A number with a decimal point; also known as a real number.
Topic 6-Problem Solving with Programming,Function,A subprogram that performs a task and returns a value.
Topic 6-Problem Solving with Programming,Identifier,"The name of a variable, constant, subprogram or data structure."
Topic 6-Problem Solving with Programming,Increment,"Increasing the value of a variable, often by 1."
Topic 6-Problem Solving with Programming,Initialise,Giving a variable or data structure its first value.
Topic 6-Problem Solving with Programming,Integer,A whole number with no fractional part.
Topic 6-Problem Solving with Programming,Iteration,"Repeating a block of code, usually with a loop."
Topic 6-Problem Solving with Programming,Library,A collection of pre-written functions and procedures that can be imported into programs.
Topic 6-Problem Solving with Programming,List,"A variable-size data structure that can store multiple values, often of mixed types."
Topic 6-Problem Solving with Programming,Logic Error,An error where the program runs but does not behave as intended.
Topic 6-Problem Solving with Programming,Loop,A structure that repeats a block of code while a condition is met or for a fixed number of times.
Topic 6-Problem Solving with Programming,Modulus,An operator that gives the remainder after integer division.
Topic 6-Problem Solving with Programming,Nesting,"Putting one programming construct, such as a loop or selection, inside another."
Topic 6-Problem Solving with Programming,Operator,"A symbol that tells the program to perform a specific operation, such as + or AND."
Topic 6-Problem Solving with Programming,Parameter,A variable in the definition of a subprogram that receives an argument when called.
Topic 6-Problem Solving with Programming,Parenthesis,Brackets used to group expressions or to enclose arguments.
Topic 6-Problem Solving with Programming,Procedure,A subprogram that performs a task but does not return a value.
Topic 6-Problem Solving with Programming,Repetition,A loop that continues until a condition is met.
Topic 6-Problem Solving with Programming,Selection,A construct that chooses which code to execute based on conditions.
Topic 6-Problem Solving with Programming,Sequence,Executing instructions one after another in a specific order.
Topic 6-Problem Solving with Programming,String,Data type used to store text as a sequence of characters.
Topic 6-Problem Solving with Programming,Syntax Error,An error where code breaks the rules of the programming language and will not run.
Topic 6-Problem Solving with Programming,Real,A number that can have a fractional part; same as a float.
Topic 6-Problem Solving with Programming,Return Value,The value a function sends back to the code that called it.
Topic 6-Problem Solving with Programming,Run,To start executing a program.
Topic 6-Problem Solving with Programming,Subprogram,"A smaller, reusable section of code, such as a function or procedure."
Topic 6-Problem Solving with Programming,Variable,A named storage location in memory that can hold a value that may change while the program runs.
Algorithms,Linear Search,A simple search method that checks each item in a list one by one until the target value is found or the end is reached.
Algorithms,When Linear Search is Used,Linear search is used when the data is unsorted or small.
Algorithms,Linear Search Efficiency,It is slow on large lists because every item may need to be checked.
Algorithms,Binary Search,A search method that repeatedly halves a sorted list to find the target value.
Algorithms,When Binary Search is Used,Binary search can only be used on lists that are already sorted.
Algorithms,Binary Search Efficiency,It is more efficient than linear search because it reduces the search space quickly.
Algorithms,Bubble Sort,A simple sorting algorithm that repeatedly compares and swaps adjacent items until the list is sorted.
Algorithms,Bubble Sort Efficiency,Bubble sort is slow on large lists because it may require many passes through the data.
Algorithms,Merge Sort,"A sorting algorithm that splits the list into smaller lists, sorts them, and then merges them back together."
Algorithms,Merge Sort Method,Uses a divide-and-conquer approach to efficiently sort data.
Algorithms,Merge Sort Efficiency,It is faster than bubble sort for large lists but uses more memory.
Algorithms,Algorithm Efficiency,A measure of how quickly an algorithm runs and how much memory it uses.
Algorithms,Time Complexity (GCSE),A way to compare how the running time of algorithms increases as the input size grows.
Algorithms,Memory Use,Some algorithms use more memory because they store extra copies of data.
Algorithms,Efficient Algorithm,An algorithm that completes its task quickly and uses minimal memory.
Boolean Logic,AND Gate,Outputs 1 only when all inputs are 1.
Boolean Logic,OR Gate,Outputs 1 when at least one input is 1.
Boolean Logic,NOT Gate,"Outputs the opposite value of the input (1 becomes 0, and 0 becomes 1)."
Boolean Logic,Truth Table,A table showing all possible input combinations and the resulting output for a logic gate.
