topic,keyword,definition
4-networks,Wired Network,A network that uses physical cables, such as Ethernet or fibre optic, to connect devices.
4-networks,Wireless Network,A network that uses radio waves (Wi-Fi) to connect devices without cables.
4-networks,Switch,A device that connects devices on a LAN and forwards data to the correct device based on MAC address.
4-networks,Router,A device that forwards data packets between networks and connects a LAN to the internet.
4-networks,Network Backbone,The main high-capacity links that connect parts of a network.
4-networks,Server,A powerful computer that provides services or resources to other computers on a network.
4-networks,Bandwidth,The maximum amount of data that can be transmitted over a network in a given time, usually in bits per second.
4-networks,Latency,The time delay between sending data and receiving a response.
4-networks,Star Topology,A network layout where all devices are connected to a central switch or hub.
4-networks,Bus Topology,A network layout where all devices are connected to a single central cable.
4-networks,Mesh Topology,A network layout where devices are interconnected, often with multiple paths between them.
4-networks,DNS,Domain Name System; translates domain names into IP addresses.
4-networks,IP Address,A unique numerical address assigned to a device on a network using IP.
4-networks,IP Address,A unique numerical address assigned to a device on a network using IP.
4-networks,MAC Address,A unique hardware address assigned to a network interface card.
4-networks,Packet,A small chunk of data sent over a network, containing addressing and error-checking information.
4-networks,Checksum,Data used to detect errors in a packet during transmission.
4-networks,Packet Switching,Splitting data into packets which are sent independently and reassembled at the destination.
4-networks,Network Interface Card (NIC),Hardware that connects a computer to a network.
4-networks,Wireless Access Point,A device that allows wireless devices to connect to a wired network.
4-networks,TCP/IP Model,A four-layer model describing how protocols work together to transmit data over networks.
4-networks,Application Layer,Top layer of TCP/IP; chooses the correct protocol for an application.
4-networks,Transport Layer,Splits data into packets, adds port numbers and ensures reliable delivery.
4-networks,Internet Layer,Adds source and destination IP addresses and routes packets.
4-networks,Link Layer,Handles hardware addressing (MAC) and physical transmission of data.
4-networks,HTTP,Hypertext Transfer Protocol; used for transferring web pages.
4-networks,HTTPS,HTTP with encryption for secure communication over the internet.
4-networks,IMAP,Internet Message Access Protocol; retrieves email while keeping copies on the server.
4-networks,POP3,Post Office Protocol version 3; retrieves email and usually deletes it from the server.
4-networks,SMTP,Simple Mail Transfer Protocol; sends email between mail servers.
4-networks,TCP,Transmission Control Protocol; provides reliable, ordered delivery of packets.
4-networks,IP,Internet Protocol; responsible for addressing and routing packets between networks.
4-networks,Firewall,Monitors and filters network traffic to prevent unauthorised access.
4-networks,Authentication,Verifying the identity of a user, for example with a password or biometric.
4-networks,Access Levels,Permissions that control what resources users can access on a network.
4-networks-security,Encryption,Converting data into a coded form so that only authorised users can read it.
4-networks-security,Penetration Testing,Authorised simulated attacks on a network to find security weaknesses.
4-networks-security,Physical Security,Protecting hardware using measures such as locks, alarms and secure rooms.
4-networks-protocols,Protocol,A set of rules governing how data is transmitted over a network.
4-networks-internet,Internet Backbone,The main high-speed routes that carry internet traffic across countries and continents.
4-networks-internet,ISP,Internet Service Provider; a company that provides users with internet access.
5-ethics,Environmental Issues,The impact of technology on the environment, such as energy use and electronic waste.
5-ethics,Digital Responsibility,The duty to use technology in a safe, legal and ethical way.
5-ethics,E-Waste,Discarded electronic devices that can cause pollution if not disposed of properly.
5-ethics,Sustainability,Designing and using technology in a way that does not damage the environment or exhaust resources.
5-ethics,The study of what is morally right or wrong, beyond what is legal.
5-ethics,Digital Divide,The gap between people who have access to digital technologies and those who do not.
5-ethics,Ethical Issues,Moral questions raised by the use of technology, such as privacy or job losses.
5-ethics,Censorship,Controlling or suppressing what information people can access.
5-ethics,Privacy Issues,Concerns about how personal data is collected, stored, used and shared.
5-ethics,Freedom of Expression,The right to express opinions without censorship, which can conflict with controlling harmful content.
5-ethics,Surveillance,Monitoring people's activities, often using technology such as CCTV or online tracking.
5-ethics,Cultural Issues,The effects of technology on traditions, behaviour and values in society.
5-ethics,Trolling,Posting messages online to deliberately upset or provoke others.
5-ethics,Fake News,False or misleading information presented as news.
5-ethics,Data Protection Act 2018,UK law that controls how personal data is collected, stored and used.
5-ethics,Computer Misuse Act 1990,UK law that makes unauthorised access to computer material a criminal offence.
5-ethics,AI (Artificial Intelligence),Computer systems that perform tasks normally requiring human intelligence.
5-ethics,Machine Learning,A type of AI where systems learn from data and improve over time without explicit programming.
5-ethics,Deepfake,AI-generated audio or video that convincingly mimics real people saying or doing things they did not do.
5-ethics,Automation,Using technology to perform tasks with little or no human input.
5-ethics,AI Regulation,Laws and rules designed to ensure AI is used safely and fairly.
5-ethics,Bias in AI,Unfair outcomes produced by AI systems because of biased training data or design.
5-ethics,Accountability in AI,Who is responsible for decisions made by AI systems.
5-ethics,Open Source Software,Software whose source code is freely available to use, modify and distribute.
5-ethics,Proprietary Software,Commercial software owned by a company; users buy a licence to use it but cannot modify it.
5-ethics,Software Licence,A legal agreement that sets out how software can be used, copied and distributed.
5-ethics,Software Licences,Rules governing how software may be used, including open source (free to modify) and proprietary (restricted use).
5-ethics,Intellectual Property,Legal rights over creations of the mind such as software, music or designs.
5-ethics,Copyright Designs and Patents Act 1988,UK law that protects original creative works from being copied or used without permission.Topic 5-Issues & Impact-cyber,Cyberattack Consequences,The financial, reputational and legal damage that can result from security breaches.
5-ethics,Data Protection Act 2018,UK law that controls how personal data is collected, stored and used.
5-ethics,Computer Misuse Act 1990,UK law that makes unauthorised access to computer material a criminal offence.
5-ethics,Copyright Designs and Patents Act 1988,UK law that protects original creative works from being copied or used without permission.
5-ethics,Software Licences,Rules governing how software may be used, including open source (free to modify) and proprietary (restricted use).
5-cyber,Information Theft,Stealing data for purposes such as identity theft or fraud.
5-cyber,Malware,Malicious software designed to damage or disrupt computer systems.
5-cyber,Spyware,Malware that secretly collects information about a user or their computer.
5-cyber,Adware,Software that automatically displays or downloads unwanted advertising material.
5-cyber,Ransomware,Malware that encrypts files and demands payment to restore access.
5-cyber,Virus,Malware that attaches itself to programs or files and spreads when they are run.
5-cyber,Worm,Malware that can copy itself and spread independently over networks.
5-cyber,Trojan,Malware disguised as legitimate software that, once installed, performs malicious actions.
5-cyber,Anti-Malware Software,Software designed to detect, block and remove malware.
5-cyber,Heuristic Analysis,A technique used by security software to detect new malware by its behaviour.
5-cyber,Malware Signatures,Patterns of code used by security software to identify known malware.
5-cyber,Hacker,A person who gains unauthorised access to systems or data.
5-cyber,Software Patch,An update released to fix vulnerabilities or bugs in software.
5-cyber,Unpatched Software,Software that has not had the latest security updates applied and is vulnerable.
5-cyber,Firewall,Hardware or software that controls incoming and outgoing network traffic based on security rules.
5-cyber,Ethical Hacking,Using hacking skills legally to find and fix security weaknesses.
5-cyber,Penetration Testing,Authorised simulated attacks used to test the security of a system.
5-cyber,Black Hat Hacker,A hacker who uses skills for malicious or illegal purposes.
5-cyber,White Hat Hacker,A hacker who uses skills to improve security, with permission.
5-cyber,Social Engineering,Tricking people into giving away confidential information.
5-cyber,Phishing,Fraudulent emails or messages that try to persuade people to reveal information.
5-cyber,Pretexting,Creating a false scenario to obtain sensitive information from someone.
5-cyber,Baiting,Offering something attractive to trick a victim into compromising security, for example an infected USB drive.
1-CT,Comment,Text in code that is ignored by the computer and used to explain the purpose of code.
1-CT,Float / Real,A number with a decimal point.
1-CT,Arithmetic Operators,Symbols such as +, -, *, /, //, %, ** used for mathematical calculations.
1-CT,Subprogram,A self-contained block of code that performs a specific task.
1-CT,Input,Data sent into a program to be processed.
1-CT,Character,A single letter, digit or symbol.
1-CT,Relational Operators,==, !=, <, >, <=, >= used to compare values.
1-CT,Function,A subprogram that returns a value.
1-CT,Output,Processed data sent out from a program to the user or another system.
1-CT,String,A sequence of characters treated as text.
1-CT,Boolean Operators,AND, OR, NOT used in logical expressions.
1-CT,Procedure,A subprogram that performs a task but does not return a value.
1-CT,Variable,A named memory location that stores a value that can change while the program runs.
1-CT,Boolean,A data type with only two possible values: True or False.
1-CT,Counter,A variable that increases or decreases by a fixed amount each time through a loop.
1-CT,Global Variable,A variable that can be accessed from any part of the program.
1-CT,Constant,A named value that does not change while the program runs.
1-CT,Selection,Using conditions (such as IF) so that different code runs depending on whether a condition is true or false.
1-CT,Flag,A Boolean variable used to signal that a condition or event has occurred.
1-CT,Local Variable,A variable that can only be accessed inside the subprogram in which it is declared.
1-CT,Identifier,The name given to a variable, constant, subprogram or other program element.
1-CT,Sequence,A set of instructions that are executed one after another in order.
1-CT,Array,A fixed-size collection of elements of the same data type stored under one identifier.
1-CT,File Handling,Opening, reading, writing and closing files in a program.
1-CT,Assignment,Giving a variable or constant a value using the assignment operator.
1-CT,Repetition,Executing a block of code a fixed number of times (for example, a counted loop).
1-CT,Record,A data structure that groups related items of different data types under one name.
1-CT,String Manipulation,Operations performed on strings, such as concatenation, slicing or changing case.
1-CT,Integer,A whole number with no decimal part.
1-CT,Iteration,Repeating a block of code, often using a loop structure.
1-CT,2D List (Array),A list or array of lists, often visualised as rows and columns like a table.
6-python,Argument,Data passed into a subprogram, written in brackets when the subprogram is called.
6-python,Array,A fixed-size data structure that stores items of the same type under one identifier.
6-python,Assign,Giving a variable or constant a value.
6-python,Block,A section of code, usually grouped by indentation or braces.
6-python,Boolean,A data type with only two values: true or false.
6-python,Call,To execute the code inside a subprogram.
6-python,Casting,Converting a value from one data type to another.
6-python,Condition,A comparison that evaluates to true or false and controls selection or repetition.
6-python,Constant,A value that does not change while the program is running.
6-python,Data Type,The kind of data stored, such as integer, real, Boolean or string.
6-python,Data Structure,A way of organising and storing data, such as arrays, lists or records.
6-python,Decomposition,Breaking a large problem into smaller subproblems.
6-python,Decrement,Reducing the value of a variable, often by 1.
6-python,Declare,To introduce a new variable or data structure, often specifying its type.
6-python,File,A collection of data stored on secondary storage.
6-python,Flag,A Boolean variable used to indicate that a certain condition has been met.
6-python,Float,A number with a decimal point; also known as a real number.
6-python,Function,A subprogram that performs a task and returns a value.
6-python,Identifier,The name of a variable, constant, subprogram or data structure.
6-python,Increment,Increasing the value of a variable, often by 1.
6-python,Initialise,Giving a variable or data structure its first value.
6-python,Integer,A whole number with no fractional part.
6-python,Iteration,Repeating a block of code, usually with a loop.
6-python,Library,A collection of pre-written functions and procedures that can be imported into programs.
6-python,List,A variable-size data structure that can store multiple values, often of mixed types.
6-python,Logic Error,An error where the program runs but does not behave as intended.
6-python,Loop,A structure that repeats a block of code while a condition is met or for a fixed number of times.
6-python,Modulus,An operator that gives the remainder after integer division.
6-python,Nesting,Putting one programming construct, such as a loop or selection, inside another.
6-python,Operator,A symbol that tells the program to perform a specific operation, such as + or AND.
6-python,Parameter,A variable in the definition of a subprogram that receives an argument when called.
6-python,Parenthesis,Brackets used to group expressions or to enclose arguments.
6-python,Procedure,A subprogram that performs a task but does not return a value.
6-python,Repetition,A loop that continues until a condition is met.
6-python,Selection,A construct that chooses which code to execute based on conditions.
6-python,Sequence,Executing instructions one after another in a specific order.
6-python,String,Data type used to store text as a sequence of characters.
6-python,Syntax Error,An error where code breaks the rules of the programming language and will not run.
6-python,Real,A number that can have a fractional part; same as a float.
6-python,Return Value,The value a function sends back to the code that called it.
6-python,Run,To start executing a program.
6-python,Subprogram,A smaller, reusable section of code, such as a function or procedure.
6-python,Variable,A named storage location in memory that can hold a value that may change while the program runs.
1-algorithms,Linear Search,A simple search method that checks each item in a list one by one until the target value is found or the end is reached.
1-algorithms,When Linear Search is Used,Linear search is used when the data is unsorted or small.
1-algorithms,Linear Search Efficiency,It is slow on large lists because every item may need to be checked.
1-algorithms,Binary Search,A search method that repeatedly halves a sorted list to find the target value.
1-algorithms,When Binary Search is Used,Binary search can only be used on lists that are already sorted.
1-algorithms,Binary Search Efficiency,It is more efficient than linear search because it reduces the search space quickly.
1-algorithms,Bubble Sort,A simple sorting algorithm that repeatedly compares and swaps adjacent items until the list is sorted.
1-algorithms,Bubble Sort Efficiency,Bubble sort is slow on large lists because it may require many passes through the data.
1-algorithms,Merge Sort,A sorting algorithm that splits the list into smaller lists, sorts them, and then merges them back together.
1-algorithms,Merge Sort Method,Uses a divide-and-conquer approach to efficiently sort data.
1-algorithms,Merge Sort Efficiency,It is faster than bubble sort for large lists but uses more memory.
1-algorithms,Algorithm Efficiency,A measure of how quickly an algorithm runs and how much memory it uses.
1-algorithms,Time Complexity (GCSE),A way to compare how the running time of 1-algorithms increases as the input size grows.
1-algorithms,Memory Use,Some 1-algorithms use more memory because they store extra copies of data.
1-algorithms,Efficient Algorithm,An algorithm that completes its task quickly and uses minimal memory.
1-boolean,AND Gate,Outputs 1 only when all inputs are 1.
1-boolean,OR Gate,Outputs 1 when at least one input is 1.
1-boolean,NOT Gate,Outputs the opposite value of the input (1 becomes 0, and 0 becomes 1).
1-boolean,Truth Table,A table showing all possible input combinations and the resulting output for a logic gate.
-hardware,Hardware,The physical components of a computer system.
A-hardware,Software,Programs and instructions that control the hardware and perform tasks.
A-hardware,Input Device,Hardware used to enter data into a computer (e.g. keyboard, mouse, scanner).
A-hardware,Output Device,Hardware that presents processed data (e.g. monitor, printer, actuator).
A-hardware,Peripheral,External device connected to a computer (e.g. printer, keyboard).
A-hardware,Control Unit (CU),Directs and coordinates operations of the CPU; manages the Fetch–Decode–Execute cycle.
A-hardware,Memory Unit,Stores data, instructions, and parts of the OS currently in use.
A-hardware,Arithmetic Logic Unit (ALU),Performs arithmetic and logical operations within the CPU.
A-hardware,Register,A small, fast storage location within the CPU used to temporarily hold data or instructions.
A-hardware,Program Counter (PC),Holds the address of the next instruction to be executed.
A-hardware,Memory Address Register (MAR),Stores the memory address of data or an instruction to be accessed.
A-hardware,Memory Data Register (MDR),Temporarily holds data being transferred to or from memory.
A-hardware,Current Instruction Register (CIR),Holds the instruction currently being decoded or executed.
A-hardware,Accumulator (ACC),Temporarily stores results of arithmetic and logical operations.
A-hardware,Bus,A set of parallel wires that carry data, addresses, or control signals between CPU components.
A-hardware,Data Bus,Transfers data between CPU and memory.
A-hardware,Address Bus,Carries the memory address of where data or instructions are located.
A-hardware,Control Bus,Carries control signals like read/write and interrupt requests.
A-hardware,Fetch-Decode-Execute Cycle,Cycle by which the CPU retrieves, interprets, and executes instructions.
A-hardware,RAM,Volatile memory used to store data and programs currently in use. Allows read/write access.
A-hardware,ROM,Non-volatile memory containing permanent instructions like the bootstrap loader.
A-hardware,Virtual Memory,Uses secondary storage as temporary RAM when physical memory is full; slower access.
A-hardware,Von Neumann Architecture,Stores data and instructions together in one memory space using a single bus (causes bottleneck).
A-hardware,Harvard Architecture,Uses separate memories and buses for data and instructions, allowing concurrent access.
A-hardware,Contemporary Processor,Hybrid of Von Neumann and Harvard; uses cache, pipelining, and multiple cores.
A-hardware,CISC,Complex Instruction Set Computer; many complex instructions, slower but easier to program.
A-hardware,RISC,Reduced Instruction Set Computer; simple instructions, faster execution, efficient for embedded systems.
A-hardware,Clock Speed,Rate of instruction cycles per second, measured in hertz (Hz).
A-hardware,Cores,Independent processing units within a CPU that can run instructions simultaneously.
A-hardware,Cache,Small, fast memory near CPU storing frequently used instructions/data to improve performance.
A-hardware,Pipelining,Overlapping FDE stages to process multiple instructions simultaneously, increasing throughput.
A-hardware,Parallel Processing,Using multiple processors or cores to execute tasks simultaneously for higher performance.
A-hardware,Co-Processor,A secondary processor dedicated to specific tasks (e.g. GPU for graphics).
A-hardware,Hyper-Threading,Technology allowing one physical core to handle multiple threads simultaneously.
A-hardware,GPU,Graphics Processing Unit; performs parallel computations for graphics rendering and AI tasks.
A-hardware,Magnetic Storage,Uses magnetized regions on spinning disks to represent binary data (e.g. HDD).
A-hardware,Optical Storage,Uses lasers to read/write data as pits and lands on discs (e.g. CD, DVD).
A-hardware,Solid State Storage (SSD),Uses NAND flash memory chips to store data electronically without moving parts.
A-Software,Application Software,Programs designed for end users to perform specific tasks such as word processing, databases, or web browsing.
A-Software,Word Processor,Software for creating, editing, formatting, and printing text documents (e.g. Microsoft Word, Google Docs).
A-Software,Database Management Software,Used for storing, retrieving, and manipulating structured data (e.g. MySQL, Oracle).
A-Software,Web Browser,Enables users to access and navigate the web (e.g. Google Chrome, Firefox).
A-Software,Graphics Manipulation Software,Used to edit and manipulate images and graphics (e.g. Adobe Photoshop, GIMP).
A-Software,Spreadsheet Software,Used to organize, calculate, and analyze numerical data (e.g. Excel, Google Sheets).
A-Software,Presentation Software,Used for creating multimedia presentations (e.g. PowerPoint, Keynote).
A-Software,Antivirus Software,Protects the computer from malware, viruses, and other threats (e.g. Norton, McAfee).
A-Software,Email Client,Manages and accesses email from multiple providers (e.g. Outlook, Thunderbird).
A-Software,Video Editing Software,Used for editing and producing videos (e.g. Adobe Premiere, Final Cut Pro).
A-Software,Integrated Development Environment (IDE),Provides tools for developing, testing, and debugging software (e.g. Visual Studio, IntelliJ IDEA).
A-Software,Virtualisation Software,Creates and runs virtual machines on a single physical computer (e.g. VMware, VirtualBox).
A-Software,Utility Software,System tools that maintain, analyze, or optimize computer performance, supporting the OS.
A-Software,Disk Defragmentation,Rearranges files on a hard drive to improve efficiency by minimizing empty spaces; improves file access speed.
A-Software,File Management,Allows users to create, rename, move, and delete files (e.g. Windows Explorer, Finder).
A-Software,Device Driver,Software interface between hardware and OS, enabling communication with devices (e.g. printer driver).
A-Software,System Cleanup,Removes temporary files and junk data to free up storage (e.g. Disk Cleanup, CCleaner).
A-Software,Security Utilities,Protects system from threats like malware or spyware (e.g. Windows Defender).
A-Software,Open Source Software,Software whose source code is freely available for use, modification, and redistribution (e.g. Linux, Apache).
A-Software,Closed Source Software,Proprietary software with hidden source code (e.g. Microsoft Windows, Adobe Photoshop).
A-Software,Operating System (OS),System software that manages hardware, software, and provides a user interface (e.g. Windows, Linux).
A-Software,Single-User OS,Allows only one user to operate the system at a time.
A-Software,Multi-Tasking OS,Allows multiple programs to run simultaneously by allocating processor time to each.
A-Software,Multi-User OS,Supports multiple users at the same time using time slices and security controls.
A-Software,Distributed OS,Manages multiple computers working together on a shared task.
A-Software,Embedded OS,A specialized OS designed for dedicated devices; limited and read-only.
A-Software,Real-Time OS,Executes tasks within a guaranteed time frame (used in self-driving cars, gaming, booking systems).
A-Software,Graphical User Interface (GUI),Uses icons, windows, and menus; user interacts with mouse or touchscreen.
A-Software,Menu-Based Interface,Offers a list of options for users to choose from (e.g. ATMs, kiosks).
A-Software,Form-Based Interface,Uses fields for structured data entry (e.g. databases, online forms).
A-Software,Natural Language Interface (NLI),Allows user input in everyday language (e.g. Siri, Alexa).
A-Software,Compression Software,Reduces file size for storage or transmission (e.g. WinZip).
A-Software,Backup Utilities,Create copies of data to prevent loss (e.g. cloud backups).
A-Software,Interrupt,A signal that temporarily halts the CPU’s current task to handle an event (e.g. keyboard input).
A-Software,Interrupt Service Routine (ISR),Software routine executed in response to an interrupt (e.g. timer or network interrupt).
A-Software,Scheduling,Method for managing CPU time and task execution efficiently.
A-Software,Round Robin Scheduling,Each job gets equal processor time slices in a cyclic order.
A-Software,First Come, First Served,Jobs are executed in the order they arrive.
A-Software,Multi-Level Feedback Queues,Processes are grouped by priority and can move between queues.
A-Software,Shortest Job First,Executes shortest tasks first for efficiency.
A-Software,Shortest Time Remaining,Runs the process with the least time left (preemptive scheduling).
A-Software,Memory Management,OS function that handles allocation and deallocation of main memory resources.
A-Software,Paging,Divides memory into fixed-size pages to manage processes; may cause internal fragmentation.
A-Software,Segmentation,Divides memory into variable-size segments based on logical divisions; may cause external fragmentation.
