topic,keyword,definition
Software,Video Editing Software,"Used for editing and producing videos (e.g. Adobe Premiere, Final Cut Pro)."
Software,Integrated Development Environment (IDE),"Provides tools for developing, testing, and debugging software (e.g. Visual Studio, IntelliJ IDEA)."
Software,Virtualisation Software,"Creates and runs virtual machines on a single physical computer (e.g. VMware, VirtualBox)."
Software,Utility Software,"System tools that maintain, analyze, or optimize computer performance, supporting the OS."
Software,Disk Defragmentation,Rearranges files on a hard drive to improve efficiency by minimizing empty spaces; improves file access speed.
Software,File Management,"Allows users to create, rename, move, and delete files (e.g. Windows Explorer, Finder)."
Software,Device Driver,"Software interface between hardware and OS, enabling communication with devices (e.g. printer driver)."
Software,System Cleanup,"Removes temporary files and junk data to free up storage (e.g. Disk Cleanup, CCleaner)."
Software,Security Utilities,Protects system from threats like malware or spyware (e.g. Windows Defender).
Software,Open Source Software,"Software whose source code is freely available for use, modification, and redistribution (e.g. Linux, Apache)."
Software,Closed Source Software,"Proprietary software with hidden source code (e.g. Microsoft Windows, Adobe Photoshop)."
Software,Operating System (OS),"System software that manages hardware, software, and provides a user interface (e.g. Windows, Linux)."
Software,Single-User OS,Allows only one user to operate the system at a time.
Software,Multi-Tasking OS,Allows multiple programs to run simultaneously by allocating processor time to each.
Software,Multi-User OS,Supports multiple users at the same time using time slices and security controls.
Software,Distributed OS,Manages multiple computers working together on a shared task.
Software,Embedded OS,A specialized OS designed for dedicated devices; limited and read-only.
Software,Real-Time OS,"Executes tasks within a guaranteed time frame (used in self-driving cars, gaming, booking systems)."
Software,Graphical User Interface (GUI),"Uses icons, windows, and menus; user interacts with mouse or touchscreen."
Software,Menu-Based Interface,"Offers a list of options for users to choose from (e.g. ATMs, kiosks)."
Software,Form-Based Interface,"Uses fields for structured data entry (e.g. databases, online forms)."
Software,Natural Language Interface (NLI),"Allows user input in everyday language (e.g. Siri, Alexa)."
Software,Compression Software,Reduces file size for storage or transmission (e.g. WinZip).
Software,Backup Utilities,Create copies of data to prevent loss (e.g. cloud backups).
Software,Interrupt,A signal that temporarily halts the CPU’s current task to handle an event (e.g. keyboard input).
Software,Interrupt Service Routine (ISR),Software routine executed in response to an interrupt (e.g. timer or network interrupt).
Software,Scheduling,Method for managing CPU time and task execution efficiently.
Software,Round Robin Scheduling,Each job gets equal processor time slices in a cyclic order.
Software,"First Come, First Served",Jobs are executed in the order they arrive.
Software,Multi-Level Feedback Queues,Processes are grouped by priority and can move between queues.
Software,Shortest Job First,Executes shortest tasks first for efficiency.
Software,Shortest Time Remaining,Runs the process with the least time left (preemptive scheduling).
Software,Memory Management,OS function that handles allocation and deallocation of main memory resources.
Software,Paging,Divides memory into fixed-size pages to manage processes; may cause internal fragmentation.
Software,Segmentation,Divides memory into variable-size segments based on logical divisions; may cause external fragmentation.
Software,Virtual Memory,Uses part of the hard disk as temporary RAM when physical memory is full.
Software,Disk Thrashing,Occurs when excessive swapping between RAM and virtual memory slows the system.
Software,BIOS,Firmware that performs Power-On Self Test (POST) and loads the OS during startup.
Software,Virtual Machine (VM),"A software-based emulation of a physical computer, allowing multiple OSs to run simultaneously."
Software,Device Driver (detailed),"Specialized software that allows the OS to communicate with hardware components (e.g. printers, GPUs)."
Exchanging Data,Compression,The process of reducing file size to speed up data transfer and save storage space. It improves transmission times and reduces bandwidth usage. Example: compressing images or videos for web streaming.
Exchanging Data,Lossy Compression,"A compression method that discards some data to significantly reduce file size. It is irreversible and commonly used for media files like MP3s, JPEGs, or streaming video where perfect accuracy is not critical."
Exchanging Data,Lossless Compression,"A method that compresses data without any loss of information, allowing it to be perfectly restored. Used for text files, databases, and applications where data integrity is essential (e.g., ZIP files)."
Exchanging Data,Run Length Encoding (RLE),A simple lossless compression method that replaces consecutive repeating elements with a count and value. Example: 'AAAABBBCCDAA' becomes '4A3B2C1D2A'. Common in bitmap images where pixel colors repeat.
Exchanging Data,Dictionary Coding,"Compression method that replaces recurring sequences with shorter, unique codes stored in a dictionary. Example: Replacing repeated words like 'QuickSort' with a single letter code. Widely used in text and data compression algorithms such as LZ77."
Exchanging Data,Encryption,"The process of converting readable data (plaintext) into unreadable form (ciphertext) to prevent unauthorized access. Used in secure communication, banking, and data storage. Example: HTTPS encryption when sending web data."
Exchanging Data,Symmetric Encryption,"Encryption where the same key is used for both encryption and decryption. It is fast and efficient for large data (e.g., AES) but requires secure key sharing between parties."
Exchanging Data,Asymmetric Encryption,"Encryption that uses two keys: a public key for encryption and a private key for decryption. More secure but slower. Used in digital signatures, SSL/TLS, and secure communications like banking logins."
Exchanging Data,Public Key,A key used in asymmetric encryption to encrypt data. It is shared openly and paired with a private key for decryption.
Exchanging Data,Private Key,The secret key in asymmetric encryption used to decrypt data encrypted with the corresponding public key. Must be kept secure by the owner.
Exchanging Data,Key Exchange Problem,A challenge in symmetric encryption where securely transmitting the shared key to both sender and receiver can expose data if intercepted.
Exchanging Data,Hashing,A one-way process that converts input data into a fixed-length string (hash digest). Used for data verification and password storage. Example: hashing a password before storing it in a database.
Exchanging Data,Hash Digest,"The fixed-size output string generated by a hash function, representing the input data in condensed form."
Exchanging Data,MD5,Message Digest 5 — a hashing algorithm producing 128-bit hashes. Fast but insecure due to vulnerability to collisions. Historically used in checksums.
Exchanging Data,SHA-1,Secure Hash Algorithm 1 — creates 160-bit hashes. Previously used in SSL and software verification but now deprecated due to security flaws.
Exchanging Data,SHA-256,"Part of the SHA-2 family — generates a 256-bit hash. Commonly used in digital signatures, blockchain, and password protection."
Exchanging Data,SHA-3,Newest member of the SHA family offering improved resistance to collision and preimage attacks. Suitable for modern cryptographic applications.
Exchanging Data,Collision,"Occurs when two different inputs produce the same hash output, reducing hash function reliability. Strong algorithms minimize this risk."
Exchanging Data,Password Hashing,"The practice of storing passwords as hash digests instead of plaintext. When users log in, their entered password is hashed and compared with the stored hash. Prevents exposure in data breaches."
Exchanging Data,Data Integrity,Ensuring data remains accurate and unaltered during transfer or storage. Verified using hashing — matching hash digests confirm data authenticity.
Exchanging Data,Hash Table,A data structure using hashing to enable fast data retrieval. Example: using email hash values to quickly find users in a database.
Exchanging Data,Data Verification,"Checking data accuracy using hashing or checksums. For instance, comparing file hashes before and after transmission ensures integrity."
Exchanging Data,Encryption vs Hashing,"Encryption is reversible (data can be decrypted) and used for confidentiality, while hashing is one-way and used for verification or authentication."
Exchanging Data,Symmetric Encryption Use Cases,"Used for encrypting large files and databases efficiently, where both encryption and decryption are handled by the same entity."
Exchanging Data,Asymmetric Encryption Use Cases,"Used for secure communication between parties, digital signatures, and authentication, such as SSL certificates and email encryption."
Exchanging Data,Hashing in Databases,Used to speed up data lookups. Example: using hash digests of user emails as keys for faster retrieval in hash tables.
Exchanging Data,Integrity Check,The process of verifying that data has not been altered during transmission. Achieved by comparing hash digests before and after transfer.
Exchanging Data,Compression Ratio,A metric describing how much a file’s size is reduced through compression. Example: 4:1 means the compressed file is one-fourth the original size.
Web Languages,HTML (HyperText Markup Language),The standard markup language for creating web pages and structuring content. Example: &lt;html&gt;...&lt;/html&gt; defines the structure of an HTML document.
Web Languages,<html> Tag,The root element of an HTML page containing all other tags. Example: &lt;html&gt;...&lt;/html&gt;
Web Languages,<head> Tag,"Contains metadata, title, styles, and links to external resources. Example: &lt;head&gt;&lt;title&gt;Home&lt;/title&gt;&lt;/head&gt;"
Web Languages,<title> Tag,Sets the page title shown in the browser tab. Example: &lt;title&gt;Home&lt;/title&gt;
Web Languages,<body> Tag,Holds all the visible page content. Example: &lt;body&gt;&lt;h1&gt;Welcome&lt;/h1&gt;&lt;/body&gt;
Web Languages,<h1>–<h6> Tags,Heading tags used for page titles and section headings. &lt;h1&gt; is largest and &lt;h6&gt; is smallest. Example: &lt;h2&gt;Subheading&lt;/h2&gt;
Web Languages,<p> Tag,Defines a paragraph. Example: &lt;p&gt;This is a paragraph.&lt;/p&gt;
Web Languages,<a> Tag (Anchor),Creates a hyperlink to another page or site. Example: &lt;a href=&quot;https://example.com&quot;&gt;Visit Site&lt;/a&gt;
Web Languages,<img> Tag,"Displays an image with attributes (src, alt, width/height). Example: &lt;img src=&quot;logo.png&quot; alt=&quot;Logo&quot; width=&quot;100&quot;&gt;"
Web Languages,<div> Tag,Groups elements for styling or scripting. Example: &lt;div class=&quot;container&quot;&gt;&lt;/div&gt;
Web Languages,<form> Tag,Collects user input. Example: &lt;form action=&quot;/submit&quot; method=&quot;post&quot;&gt;&lt;/form&gt;
Web Languages,<input> Tag,Defines input fields. Example: &lt;input type=&quot;text&quot; name=&quot;user&quot;&gt; (also &lt;input type=&quot;submit&quot; value=&quot;Send&quot;&gt;)
Web Languages,<ul> & <ol> Tags,Define unordered (bulleted) and ordered (numbered) lists. Example: &lt;ul&gt;&lt;li&gt;Item&lt;/li&gt;&lt;/ul&gt;
Web Languages,<li> Tag,Defines an item inside a list. Example: &lt;li&gt;Item&lt;/li&gt;
Web Languages,<script> Tag,Embeds or links JavaScript. Example: &lt;script&gt;alert(&quot;Hi!&quot;);&lt;/script&gt;
Web Languages,CSS (Cascading Style Sheets),"Controls layout, color, and fonts of HTML elements. Example: h1 { color: blue; }"
Web Languages,Inline CSS,CSS written directly in a tag’s style attribute. Example: &lt;p style=&quot;color:red;&quot;&gt;Text&lt;/p&gt;
Web Languages,Internal CSS,CSS written inside a &lt;style&gt; tag in the &lt;head&gt;. Example: &lt;style&gt;body {background: yellow;}&lt;/style&gt;
Web Languages,External CSS,CSS in a separate file linked to the HTML. Example: &lt;link rel=&quot;stylesheet&quot; href=&quot;styles.css&quot;&gt;
Web Languages,.class Selector,Targets elements sharing a class attribute. Example: .note { color: green; }
Web Languages,#id Selector,Targets a single unique element. Example: #header { background: gray; }
Web Languages,Common CSS Properties,"background-color, border-style, border-color, border-width, color (named or hex), font-family, font-size, height, width."
Web Languages,JavaScript,"A scripting language for dynamic, interactive web pages. Example: alert(&quot;Hello World!&quot;);"
Web Languages,JavaScript Input,Reads user input from forms/DOM. Example: let name = document.getElementById(&quot;user&quot;).value;
Web Languages,JavaScript Output (DOM),Updates page content dynamically. Example: document.getElementById(&quot;out&quot;).innerHTML = &quot;Hi!&quot;;
Web Languages,document.write(),Writes text directly into the document stream. Example: document.write(&quot;Loaded&quot;);
Web Languages,alert(),Shows a popup message to the user. Example: alert(&quot;Hello World!&quot;);
Web Languages,DOCTYPE Declaration,Specifies the HTML version. Example: &lt;!DOCTYPE html&gt; (HTML5).
Web Languages,HTML Structure Example,&lt;!DOCTYPE html&gt;&lt;html&gt;&lt;head&gt;&lt;title&gt;Page&lt;/title&gt;&lt;/head&gt;&lt;body&gt;&lt;h1&gt;Welcome&lt;/h1&gt;&lt;/body&gt;&lt;/html&gt;
Web Languages,Web Languages Integration,"HTML provides structure, CSS adds presentation, and JavaScript enables interactivity—together forming complete web apps."
Networks,Network,"A group of interconnected computers that share resources, data, and services."
Networks,Client,A computer that accesses resources or services provided by a server.
Networks,Server,A central computer that manages network resources and services for clients.
Networks,Peer-to-Peer (P2P),A network model where all computers have equal status and share resources directly.
Networks,Client-Server Network,A network model where a central server manages resources and security for connected clients.
Networks,Resource Sharing,"Users can share printers, files, and internet access."
Networks,Centralized Management,"Administrators can manage users, permissions, and security from one location."
Networks,Backup,Data can be backed up centrally at the server.
Networks,High Setup Cost,"Requires servers, network cards, and cabling."
Networks,Maintenance Complexity,Needs skilled professionals to manage.
Networks,Security Risk,Connected systems are vulnerable to hackers.
Networks,Network Failure,"If the server fails, all connected clients may lose access."
Networks,Packet Switching,Data is divided into packets sent independently across the network and reassembled at the destination.
Networks,Circuit Switching,A dedicated communication path is established for the duration of a connection.
Networks,Header,Contains source and destination addresses and sequencing info.
Networks,Payload,The actual data being transmitted.
Networks,Footer (Trailer),Used for error-checking and marking the end of a packet.
Networks,Checksum,A calculated value used to verify data integrity during transmission.
Networks,Parity Bit,An extra bit added to detect transmission errors (even or odd parity).
Networks,Serial Transmission,Sends bits one after another over a single channel (reliable over long distances).
Networks,Parallel Transmission,Sends multiple bits simultaneously using several wires (faster but limited distance).
Networks,Simplex Transmission,"One-way communication (e.g., keyboard to CPU)."
Networks,Half Duplex,"Two-way communication, one direction at a time (e.g., walkie-talkie)."
Networks,Full Duplex,"Two-way communication simultaneously (e.g., telephone)."
Networks,Router,Connects networks and directs data packets based on IP addresses.
Networks,Switch,Connects devices within a network and forwards data based on MAC addresses.
Networks,Bridge,Connects and filters traffic between two local area networks.
Networks,Gateway,Connects different types of networks and translates protocols.
Networks,Repeater,Strengthens and retransmits weak signals.
Networks,Firewall,Monitors and blocks unauthorized network traffic.
Networks,Wireless Access Point (WAP),Enables wireless devices to connect to a wired network.
Networks,Network Interface Card (NIC),Hardware that allows a computer to connect to a network and assigns a MAC address.
Networks,Ethernet Cable,Physical cable used to connect devices in a wired network.
Networks,Protocol,A set of rules governing data communication between devices.
Networks,HTTP,Transfers web pages across the internet.
Networks,HTTPS,Secure version of HTTP using encryption (SSL/TLS).
Networks,FTP,Transfers files between systems.
Networks,TCP,"Ensures reliable, ordered data delivery."
Networks,UDP,"Fast, connectionless transmission ideal for streaming or gaming."
Networks,IP,Handles addressing and routing of packets.
Networks,SMTP,Sends emails between mail servers.
Networks,POP3,Downloads emails from a mail server to a local device.
Networks,IMAP,Allows email synchronization across multiple devices.
Networks,Application Layer,"Determines which protocol to use based on the application (e.g., HTTP, FTP)."
Networks,Transport Layer,Splits data into packets and ensures reliable delivery using TCP or UDP.
Networks,Network Layer,Adds IP addresses for routing packets between devices.
Networks,Link Layer,Manages the physical connection and includes MAC addressing.
Networks,Malware,Harmful software that damages or steals data.
Networks,Phishing,Fraudulent attempts to steal sensitive information via fake emails or websites.
Networks,DDoS,Overwhelms a network with traffic to cause disruption.
Networks,Man-in-the-Middle Attack (MITM),Interception and alteration of communication between two parties.
Networks,Unauthorized Access,Intruders gaining access to systems or data without permission.
Networks,Data Breach,Unauthorized access or disclosure of sensitive data.
Networks,Ransomware,Malicious software that locks files until a ransom is paid.
Networks,Wi-Fi Threats,Risks from unsecured wireless networks.
Networks,Social Engineering,Manipulating people into revealing confidential information.
Networks,VPN,Encrypts internet activity and hides IP addresses for secure browsing.
Networks,Proxy Server,Acts as an intermediary to filter and manage network requests.
Networks,DNS,Translates domain names (like www.example.com) into IP addresses.
Networks,DNS Resolver,Checks local cache for stored IPs before querying servers.
Networks,TLD Name Server,"Handles top-level domains like .com, .org."
Networks,Authoritative Name Server,Holds the official IP address for a domain.
Networks,DNS Caching,Temporary storage of resolved domain names for faster access.
Boolean Logic,Boolean Logic,"A system of algebra for variables with two values (0/1, false/true) used to model logical operations and digital circuits."
Boolean Logic,AND (∧),"Binary operator outputting 1 only if both inputs are 1. Truth table: (0,0→0), (0,1→0), (1,0→0), (1,1→1)."
Boolean Logic,OR (∨),"Binary operator outputting 1 if at least one input is 1. Truth table: (0,0→0), (0,1→1), (1,0→1), (1,1→1)."
Boolean Logic,"XOR (exclusive OR, ⊻)","Binary operator outputting 1 if exactly one input is 1 (not both). Truth table: (0,0→0), (0,1→1), (1,0→1), (1,1→0)."
Boolean Logic,NOT (¬),"Unary operator that inverts the input: 0→1, 1→0."
Boolean Logic,NAND,"NOT-AND; outputs 0 only when both inputs are 1. Truth table: (0,0→1), (0,1→1), (1,0→1), (1,1→0)."
Boolean Logic,Equivalence (≡),Logical equality: A ≡ B is true when A and B have the same truth value.
Boolean Logic,Truth Table,A tabular method listing all input combinations and corresponding output(s) for a logical expression or circuit.
Boolean Logic,Logic Expression,"Algebraic form combining variables and operators (e.g., Q = ¬A ∨ (B ∧ C)); brackets evaluated first."
Boolean Logic,Logic Diagram,Gate-level circuit representation corresponding to a Boolean expression; can be translated both ways.
Boolean Logic,Constructing Expressions from Diagrams,"Identify sub-expressions at gate inputs (e.g., (A AND B), (B AND NOT C)) then combine via the output gate (OR): P = (A ∧ B) ∨ (B ∧ ¬C)."
Boolean Logic,Problem Definition with Logic,"Real-world rules described with Boolean variables, e.g., valve closes (V) if temperature high (T) OR pressure high (P): V = T ∨ P."
Boolean Logic,Karnaugh Map (K-Map),A visual simplification tool arranging truth values so adjacent cells differ by one bit; used to group 1s and minimize expressions (2–4 variables commonly).
Boolean Logic,Simplifying Boolean Expressions,Apply algebraic laws to reduce expressions (fewer gates/inputs). Example factoring: (¬C ∧ ¬D) ∨ (C ∧ ¬D) = (¬D) ∧ (¬C ∨ C) = ¬D.
Boolean Logic,General AND Laws,"X·0=0, X·1=X, X·X=X, ¬X·X=0."
Boolean Logic,General OR Laws,"X+0=X, X+1=1, X+X=X, ¬X+X=1."
Boolean Logic,De Morgan’s Laws,¬(X ∧ Y)=¬X ∨ ¬Y and ¬(X ∨ Y)=¬X ∧ ¬Y; used to push negations in/out and change operators.
Boolean Logic,Distribution,X ∧ (Y ∨ Z) = (X ∧ Y) ∨ (X ∧ Z) and X ∨ (Y ∧ Z) = (X ∨ Y) ∧ (X ∨ Z).
Boolean Logic,Reverse Distribution (Factoring),The inverse of distribution; factor common terms: (X∧Y) ∨ (X∧Z) = X ∧ (Y ∨ Z).
Boolean Logic,Association,"Regrouping without changing meaning: (X ∨ Y) ∨ Z = X ∨ (Y ∨ Z), (X ∧ Y) ∧ Z = X ∧ (Y ∧ Z)."
Boolean Logic,Commutation,Order of operands does not matter: X ∨ Y = Y ∨ X; X ∧ Y = Y ∧ X.
Boolean Logic,Double Negation,¬(¬X) = X.
Boolean Logic,Absorption,"X ∨ (X ∧ Y) = X and X ∧ (X ∨ Y) = X; if X is true the whole term is true (for OR), if X is false the whole term is false (for AND)."
Boolean Logic,Half Adder,"Combinational circuit adding two 1-bit inputs A,B. Sum S = A ⊻ B; Carry C = A ∧ B."
Boolean Logic,Full Adder,"Adds A, B, and carry-in (Cin). Sum S = A ⊻ B ⊻ Cin; Carry-out Cout = (A ∧ B) ∨ (Cin ∧ (A ⊻ B))."
Boolean Logic,D-Type Flip-Flop,"Sequential circuit storing 1 bit; output Q takes input D on the active clock edge (rising edge), holding value until next edge."
Boolean Logic,Clock (for Flip-Flops),Periodic timing signal controlling when state changes occur; D-type changes only on rising edge.
Computational Methods,Backtracking,"A recursive algorithmic technique that incrementally builds a solution by exploring possible options. If a path is found invalid, the algorithm backtracks to the previous step to try another route. It’s considered an 'organised brute-force' approach, often used in maze-solving, constraint satisfaction problems like Sudoku, or pathfinding algorithms."
Computational Methods,Data Mining,"The process of discovering patterns, correlations, or anomalies in large datasets, often from multiple sources (big data). Used in business, marketing, and science to make predictions and identify hidden trends. Example: analysing customer purchase data to recommend products or detect fraudulent activity."
Computational Methods,Heuristics,"A problem-solving technique that uses experience-based rules or 'educated guesses' to find approximate solutions quickly. Used where an optimal solution would take too long to compute. Examples: used in route planning (A* algorithm), AI decision-making, and NP-hard problems like the Travelling Salesman."
Computational Methods,Performance Modelling,A mathematical or computational approach used to simulate system behaviour under various loads before real-world implementation. Helps predict performance and identify bottlenecks. Used for safety-critical systems (like air traffic control or medical devices) where testing under failure conditions is impractical.
Computational Methods,Pipelining,"A technique that divides a process into smaller stages executed in parallel, where the output of one stage becomes the input for the next. Commonly used in RISC processors to execute multiple instructions simultaneously during different parts of the Fetch-Decode-Execute cycle. Also used in data processing and manufacturing for efficiency."
Computational Methods,Visualisation,"The graphical representation of data using charts, graphs, and other visuals to simplify interpretation. Helps identify trends, correlations, and outliers that are difficult to spot in raw data. Used in data analysis dashboards, scientific simulations, and business intelligence reporting."
Programming,Variable,A named memory location used to store data that can change during runtime.
Programming,Constant,A named memory location that stores data that remains unchanged throughout program execution.
Programming,Local Variable,A variable accessible only within the subroutine where it is created.
Programming,Global Variable,A variable accessible from any part of the program.
Programming,Scope,The section of code where a variable can be accessed.
Programming,Data Type,"Defines the kind of value a variable can hold (e.g., integer, string, boolean)."
Programming,Integer,"Whole numbers (e.g., 10)."
Programming,Float / Real,"Numbers with decimal points (e.g., 3.14)."
Programming,Character,"A single letter, number, or symbol (e.g., ‘A’)."
Programming,String,"A sequence of characters (e.g., “Hello”)."
Programming,Boolean,Data type with only two values: True or False.
Programming,Subroutine,A block of code designed to perform a specific task.
Programming,Procedure,A subroutine that performs a task but does not return a value.
Programming,Function,A subroutine that performs a task and returns a value.
Programming,Parameter,A variable used to pass data into a subroutine.
Programming,Argument,The actual value supplied to a parameter when a subroutine is called.
Programming,Passing by Value,A copy of the data is passed; changes inside the subroutine do not affect the original value.
Programming,Passing by Reference,The address of the data is passed; changes inside the subroutine affect the original value.
Programming,Sequence,Executing statements one after another in order.
Programming,Selection,"Using conditions (e.g., IF statements) to make decisions."
Programming,Iteration,"Repeating a set of statements (e.g., FOR, WHILE loops)."
Programming,Count-Controlled Loop,"Executes a fixed number of times (e.g., FOR loop)."
Programming,Condition-Controlled Loop,"Repeats until a condition is met (e.g., WHILE loop)."
Programming,Do Until Loop,"Executes code at least once, then checks the condition (not supported in Python)."
Programming,Arithmetic Operators,"Perform math operations (+, -, *, /, %, **, //)."
Programming,Relational Operators,"Compare values (<, >, ==, !=, <=, >=)."
Programming,Boolean Operators,"Combine logical conditions (AND, OR, NOT)."
Programming,Array,Stores multiple items of the same type under one name with fixed size.
Programming,List,"Dynamic data structure that can grow or shrink, storing mixed data types."
Programming,Tuple,Immutable sequence of elements; cannot be changed after creation.
Programming,Record,Stores multiple related data items (of possibly different types) under one structure.
Programming,Array of Records,A collection of multiple records stored in an array.
Programming,Concatenation,Joining strings together.
Programming,Substring,Extracting part of a string using slicing.
Programming,len(),Returns string length.
Programming,asc() / ord(),Converts a character to its ASCII code.
Programming,chr(),Converts ASCII code to a character.
Programming,"str(), int(), float()",Type conversion functions.
Programming,"open(filename, mode)","Opens a file with a specific mode (r, w, a)."
Programming,r (read),Opens a file for reading.
Programming,w (write),Opens a file for writing (overwrites existing file).
Programming,a (append),Adds data to the end of the file.
Programming,read(),Reads the entire file as a string.
Programming,readline(),Reads one line at a time.
Programming,readlines(),Reads all lines into a list.
Programming,write(),Writes data to a file.
Programming,writelines(),Writes a list of strings to a file.
Programming,Recursion,When a function calls itself to solve smaller instances of a problem.
Programming,Base Case,The stopping condition for a recursive function.
Programming,Stack Overflow,Error caused when recursion runs too deep.
Programming,Normal Data,Expected valid inputs for testing.
Programming,Erroneous Data,Clearly invalid inputs for testing.
Programming,Boundary Data,Values on the edge of valid ranges for testing.
Programming,Syntax Error,Prevents code from running due to incorrect syntax.
Programming,Runtime Error,Occurs while the program is running.
Programming,Logic Error,Program runs but gives incorrect output.
Programming,Debugging,The process of finding and fixing program errors.
Programming,Error Diagnostics,Identifies and describes code errors.
Programming,Breakpoints,Stops execution at specific points to inspect variables.
Programming,Syntax Highlighting,Color-coding for easy readability of code.
Programming,Variable Watch Window,Monitors variable values during execution.
Programming,Auto-complete,Suggests code as you type.
Programming,Step-through Execution,Runs code line by line for debugging.
Programming,Programming Standards,"Set of rules to make code readable, consistent, and maintainable (naming, indentation, commenting)."
Object-Oriented Programming,Class,A blueprint for creating objects that defines attributes (data) and methods (behaviour).
Object-Oriented Programming,Object,An instance of a class with specific values for its attributes.
Object-Oriented Programming,Encapsulation,Hiding an object’s data and allowing controlled access only through methods (getters and setters).
Object-Oriented Programming,Inheritance,"When a child class inherits attributes and methods from a parent class, promoting code reuse."
Object-Oriented Programming,Polymorphism,The ability for methods to take multiple forms (via method overloading or overriding).
Object-Oriented Programming,Abstraction,Hiding complex implementation details and exposing only essential features.
Object-Oriented Programming,Method,A function defined inside a class that describes an object’s behaviour.
Object-Oriented Programming,Constructor,A special method automatically called when an object is created; used to initialise attributes.
Object-Oriented Programming,Getter (Accessor),A method that retrieves the value of an attribute.
Object-Oriented Programming,Setter (Mutator),A method that updates the value of an attribute.
Object-Oriented Programming,Method Overriding,When a child class redefines a method inherited from the parent class to change its behaviour.
